# DM      Sigma      Time (s)     Sample    Downfact
515.605689   33.030468   648.361329   15829134   32
309.668117   27.282742   650.619699   15884270   64
535.293123   25.197960   652.037407   15918882   64
361.816205   23.604054   654.781276   15985871   64
739.191905   19.639349   656.667402   16031919   64
453.295550   18.325624   658.399519   16074207   64
364.729966   64.602507   660.994294   16137556   16
548.308721   50.883934   662.475776   16173725   32
683.843511   67.030670   664.809595   16230703   32
706.316064   70.162635   666.686259   16276520   32
539.731876   160.917614   668.440494   16319348   16
715.743241   21.413551   671.035965   16382714   64
530.681610   31.431337   673.264108   16437112   64
629.590475   28.050463   674.896323   16476961   64
485.711542   28.724509   676.553400   16517417   128
292.354111   11.737934   679.217603   16582461   64
451.021072   22.476710   681.183314   16630452   128
434.029554   36.638620   683.323556   16682704   64
432.161433   90.764996   685.377495   16732849   16
250.171806   22.516533   687.634309   16787947   128
250.456965   30.193026   689.656381   16837314   64
424.345159   18.057631   691.246285   16876130   64
286.599049   31.886703   693.668045   16935255   64
647.159742   18.618874   695.546143   16981107   128
287.067633   21.463225   697.187164   17021171   64
460.586125   13.246323   699.815404   17085337   64
300.783488   15.878430   701.712343   17131649   64
251.727047   32.394573   703.679324   17179671   64
348.559751   20.641303   705.985700   17235979   64
679.322089   27.828895   707.908731   17282928   128
369.949532   26.449083   709.746811   17327803   64
447.240603   28.479045   712.100905   17385276   64
670.666347   13.963658   713.730458   17425060   128
556.473782   47.122240   716.000911   17480491   32
414.265865   28.260750   718.146314   17532869   64
507.412645   24.657425   720.083968   17580175   32
252.453902   78.875352   721.841766   17623090   32
682.871604   15.432669   723.874038   17672706   128
652.228657   51.780828   726.251192   17730742   64
605.257271   13.049258   728.359526   17782215   128
496.052197   28.889078   730.081731   17824261   64
284.385786   23.003225   732.347761   17879584   64
715.859847   17.659887   734.435615   17930557   128
492.012747   18.857787   736.190259   17973395   64
270.931401   19.491600   738.163057   18021559   64
367.594008   19.250229   740.222198   18071831   128
473.827217   44.123583   742.815949   18135155   16
351.594309   29.418472   744.276419   18170811   64
429.387036   42.848951   746.280673   18219743   64
407.223384   135.193510   748.677079   18278249   8
518.295031   38.484886   751.060337   18336434   64
579.049260   39.021529   752.826286   18379548   64
659.019138   15.117917   755.081011   18434595   64
602.684577   4.521718   757.208064   18486525   1
537.503481   19.102153   758.930309   18528572   64
388.302760   28.545617   761.037947   18580028   32
606.560946   21.199333   763.062108   18629446   64
254.700181   32.319557   765.391667   18686320   32
321.659856   17.084787   767.558164   18739213   64
270.152267   41.713279   768.848609   18770718   64
718.682387   89.312506   770.741494   18816931   16
625.102333   29.216792   773.373297   18881184   64
292.143361   31.426551   775.583990   18935156   32
475.994198   18.006020   777.626173   18985014   64
371.917704   31.483558   779.116667   19021403   32
353.514975   26.065478   781.197804   19072212   64
570.720663   39.419645   783.726633   19133951   32
573.289542   25.454386   785.461985   19176318   64
302.988582   18.878663   787.816530   19233802   64
424.787560   19.091959   789.940060   19285646   64
290.296262   45.736654   791.537132   19324637   64
475.539267   17.121070   793.748439   19378624   128
615.313145   59.903284   796.100280   19436042   16
309.773484   51.786590   798.201938   19487352   16
482.077605   21.004201   800.167035   19535328   64
260.222076   49.302302   802.180669   19584489   16
301.399577   20.538839   804.298875   19636203   32
289.572954   32.244981   806.395576   19687392   64
710.561172   18.050599   807.634862   19717648   64
331.724429   28.166425   809.795912   19770408   64
382.977874   59.416992   812.250481   19830334   32
547.736029   72.643116   813.834486   19869006   16
343.253291   22.532364   816.076472   19923742   64
747.081907   40.185650   817.788314   19965535   32
345.308616   27.023348   820.430111   20030032   64
556.301792   19.196461   822.723092   20086013   64
677.923990   4.539024   824.424079   20127541   1
274.920203   21.037697   826.750771   20184345   32
318.400331   108.668835   828.922593   20237368   16
250.026310   32.497313   830.665318   20279915   32
651.890447   27.951191   832.572621   20326480   64
706.486939   44.800681   834.152243   20365045   64
464.700229   38.049838   836.374692   20419304   32
565.375974   39.163105   838.956360   20482333   64
639.928519   27.404972   841.002844   20532296   32
288.705951   29.754834   843.193917   20585789   128
325.596606   39.193377   845.229629   20635489   64
369.845858   14.367669   846.924186   20676860   64
648.226214   22.794387   849.244406   20733506   64
485.149067   56.070976   850.829844   20772213   32
476.331678   20.683630   853.308580   20832729   128
545.530807   15.365659   854.862193   20870659   128
732.543773   26.852812   857.195151   20927616   64
641.611067   17.036073   859.490304   20983650   64
475.174289   30.430937   861.464986   21031860   64
584.527021   62.600604   863.119565   21072255   32
317.819567   25.996189   865.200660   21123063   64
278.835173   20.084454   867.660063   21183107   128
464.190617   15.190929   869.675622   21232315   64
468.081220   30.982157   871.611965   21279589   64
689.495327   33.677710   873.397535   21323182   32
431.172022   30.042420   875.932672   21385075   64
301.842654   21.804690   877.747651   21429386   64
608.467519   10.749428   879.282586   21466860   128
